itemId:151758737, builtAt:2014, bathrooms:1, netArea:46, metro:Щелковская, floor:11, price:15500000, area:84, elevator:–, timeToMetro:9, floors:14, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:163226904, builtAt:1967, bathrooms:-, netArea:34, metro:Планерная, floor:1, price:6000000, area:51, elevator:1 пасс., timeToMetro:4, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:160883604, builtAt:1977, bathrooms:-, netArea:34.3, metro:Шипиловская, floor:9, price:6100000, area:51.5, elevator:1 пасс., timeToMetro:11, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162973336, builtAt:-, bathrooms:-, netArea:38.4, metro:Выхино, floor:5, price:6100000, area:57, elevator:1 пасс., timeToMetro:7, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:161002664, builtAt:-, bathrooms:-, netArea:34.3, metro:Шипиловская, floor:9, price:6150000, area:51, elevator:1 пасс., timeToMetro:11, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162437481, builtAt:-, bathrooms:-, netArea:34, metro:Планерная, floor:1, price:6199000, area:53, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:-, balcony:нет
itemId:161342802, builtAt:1969, bathrooms:-, netArea:42, metro:Южная, floor:7, price:6199999, area:57, elevator:1 пасс., timeToMetro:6, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:154260526, builtAt:2001, bathrooms:1, netArea:100, metro:Щукинская, floor:4, price:37000000, area:140, elevator:2 пасс. + 1 груз., timeToMetro:14, floors:28, rooms:3, view:двор и улица, buildingType:вторичка, renovation:дизайнерский, balcony:–
itemId:163040548, builtAt:2008, bathrooms:1, netArea:–, metro:Академическая, floor:26, price:30700000, area:86, elevator:4 пасс. + 1 груз., timeToMetro:10, floors:29, rooms:3, view:улица, buildingType:монолитный, renovation:отсутствует, balcony:1 балк.
itemId:151006080, builtAt:1940, bathrooms:-, netArea:60, metro:Авиамоторная, floor:7, price:13993000, area:90, elevator:1 пасс., timeToMetro:11, floors:7, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:2 балк. + 1 лодж.
itemId:159498248, builtAt:1960, bathrooms:-, netArea:44, metro:Люблино, floor:1, price:6200000, area:53.1, elevator:–, timeToMetro:7, floors:4, rooms:3, view:–, buildingType:кирпичный, renovation:отсутствует, balcony:–
itemId:149615543, builtAt:1975, bathrooms:-, netArea:35, metro:Домодедовская, floor:9, price:6200000, area:54, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 лодж.
itemId:160427229, builtAt:-, bathrooms:-, netArea:33, metro:Выхино, floor:5, price:6200000, area:52, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:163059972, builtAt:-, bathrooms:-, netArea:34.5, metro:Шипиловская, floor:9, price:6200000, area:52, elevator:1 пасс., timeToMetro:5, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:155447533, builtAt:1972, bathrooms:-, netArea:35, metro:Улица Академика Янгеля, floor:8, price:6300000, area:51, elevator:–, timeToMetro:16, floors:12, rooms:3, view:–, buildingType:блочный, renovation:косметический, balcony:1 лодж.
itemId:162363554, builtAt:-, bathrooms:-, netArea:34, metro:Планерная, floor:1, price:6300000, area:50.6, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:-, balcony:–
itemId:162803692, builtAt:1974, bathrooms:-, netArea:40, metro:Люблино, floor:1, price:6300000, area:56, elevator:1 пасс., timeToMetro:19, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:161373077, builtAt:-, bathrooms:-, netArea:38, metro:Выхино, floor:1, price:6300000, area:58, elevator:1 пасс., timeToMetro:19, floors:9, rooms:3, view:улица, buildingType:вторичка, renovation:-, balcony:1 лодж.
itemId:160563336, builtAt:1971, bathrooms:-, netArea:34.4, metro:Улица Академика Янгеля, floor:6, price:6300000, area:50.3, elevator:–, timeToMetro:11, floors:9, rooms:3, view:двор, buildingType:блочный, renovation:косметический, balcony:1 балк.
itemId:153222024, builtAt:1971, bathrooms:-, netArea:41, metro:Люблино, floor:1, price:6350000, area:57, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:152321477, builtAt:1972, bathrooms:-, netArea:34.1, metro:Тушинская, floor:6, price:6390000, area:51.4, elevator:1 пасс., timeToMetro:12, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:1 балк.
itemId:162030388, builtAt:1963, bathrooms:1, netArea:40.1, metro:Волжская, floor:2, price:6400000, area:54, elevator:–, timeToMetro:12, floors:5, rooms:3, view:двор, buildingType:кирпичный, renovation:отсутствует, balcony:1 балк.
itemId:158374690, builtAt:1965, bathrooms:1, netArea:39, metro:Царицыно, floor:2, price:6400000, area:57, elevator:–, timeToMetro:15, floors:5, rooms:3, view:двор и улица, buildingType:кирпичный, renovation:косметический, balcony:1 лодж.
itemId:161926385, builtAt:1970, bathrooms:-, netArea:35.5, metro:Выхино, floor:8, price:6400000, area:57.9, elevator:1 пасс., timeToMetro:6, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:153699217, builtAt:1954, bathrooms:-, netArea:31, metro:Рязанский проспект, floor:5, price:6400000, area:54, elevator:–, timeToMetro:10, floors:5, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:–
itemId:159066563, builtAt:1968, bathrooms:-, netArea:35, metro:Речной вокзал, floor:1, price:6400000, area:52, elevator:1 пасс., timeToMetro:20, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:159611566, builtAt:-, bathrooms:1, netArea:36.5, metro:Рязанский проспект, floor:5, price:6490000, area:55, elevator:–, timeToMetro:1, floors:5, rooms:3, view:двор, buildingType:кирпичный, renovation:-, balcony:1 балк.
itemId:157625193, builtAt:1965, bathrooms:-, netArea:37.2, metro:Сходненская, floor:1, price:6495000, area:56, elevator:–, timeToMetro:16, floors:5, rooms:3, view:двор, buildingType:кирпичный, renovation:евроремонт, balcony:–
itemId:162628418, builtAt:-, bathrooms:2, netArea:33, metro:Раменки, floor:3, price:22800000, area:80, elevator:1 пасс. + 1 груз., timeToMetro:7, floors:12, rooms:3, view:–, buildingType:монолитный, renovation:дизайнерский, balcony:1 лодж.
itemId:163060059, builtAt:1970, bathrooms:1, netArea:40, metro:Выхино, floor:1, price:5990000, area:57, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:дизайнерский, balcony:1 балк.
itemId:161034008, builtAt:1926, bathrooms:1, netArea:44, metro:Спортивная, floor:2, price:23200000, area:80, elevator:1 пасс., timeToMetro:7, floors:6, rooms:3, view:двор и улица, buildingType:кирпичный, renovation:косметический, balcony:нет
itemId:163280374, builtAt:1964, bathrooms:-, netArea:38, metro:Черкизовская, floor:1, price:6500000, area:57, elevator:–, timeToMetro:5, floors:5, rooms:3, view:двор и улица, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:152044086, builtAt:1966, bathrooms:-, netArea:42.1, metro:Первомайская, floor:2, price:6500000, area:56.4, elevator:1 пасс., timeToMetro:19, floors:9, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:–
itemId:153517936, builtAt:1969, bathrooms:-, netArea:35, metro:Текстильщики, floor:2, price:6500000, area:51, elevator:1 пасс., timeToMetro:12, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:159736012, builtAt:-, bathrooms:-, netArea:34.5, metro:Пражская, floor:6, price:6500000, area:53, elevator:1 пасс., timeToMetro:5, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:159737562, builtAt:-, bathrooms:-, netArea:36, metro:Выхино, floor:5, price:6500000, area:52, elevator:–, timeToMetro:7, floors:9, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:163059779, builtAt:1970, bathrooms:-, netArea:47.5, metro:Выхино, floor:1, price:6500000, area:64.3, elevator:–, timeToMetro:16, floors:12, rooms:3, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:161945040, builtAt:1969, bathrooms:-, netArea:35, metro:Текстильщики, floor:2, price:6550000, area:53, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:155997167, builtAt:1959, bathrooms:1, netArea:32, metro:Щелковская, floor:4, price:6599999, area:47, elevator:–, timeToMetro:12, floors:5, rooms:3, view:двор, buildingType:вторичка, renovation:евроремонт, balcony:1 балк.
itemId:160461345, builtAt:-, bathrooms:1, netArea:44, metro:Выхино, floor:9, price:6600000, area:58.8, elevator:1 пасс., timeToMetro:11, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:150434088, builtAt:1966, bathrooms:1, netArea:41, metro:Братиславская, floor:1, price:6600000, area:56.1, elevator:–, timeToMetro:12, floors:5, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:159745569, builtAt:1974, bathrooms:-, netArea:33.4, metro:Домодедовская, floor:3, price:6600000, area:50.5, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:162071921, builtAt:1970, bathrooms:-, netArea:35.5, metro:Выхино, floor:9, price:6600000, area:60, elevator:1 пасс., timeToMetro:4, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:161571267, builtAt:1970, bathrooms:-, netArea:35.5, metro:Выхино, floor:9, price:6600000, area:60, elevator:1 пасс., timeToMetro:4, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк. + 1 лодж.
itemId:159177733, builtAt:1970, bathrooms:-, netArea:44.3, metro:Выхино, floor:3, price:6600000, area:59.3, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:отсутствует, balcony:1 лодж.
itemId:157280201, builtAt:-, bathrooms:-, netArea:38, metro:Выхино, floor:1, price:6600000, area:58, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:улица, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:162449751, builtAt:1967, bathrooms:-, netArea:36, metro:Планерная, floor:7, price:6650000, area:50, elevator:1 пасс., timeToMetro:4, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 лодж.
itemId:161842399, builtAt:-, bathrooms:-, netArea:34, metro:Планерная, floor:7, price:6650000, area:49, elevator:1 пасс., timeToMetro:4, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:162144107, builtAt:1963, bathrooms:1, netArea:42, metro:Кантемировская, floor:1, price:6700000, area:56.1, elevator:нет, timeToMetro:17, floors:5, rooms:3, view:двор, buildingType:кирпичный, renovation:косметический, balcony:нет
itemId:162226293, builtAt:-, bathrooms:-, netArea:43.5, metro:Улица Академика Янгеля, floor:4, price:6700000, area:60.7, elevator:2 пасс., timeToMetro:12, floors:12, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:160500369, builtAt:1968, bathrooms:-, netArea:28, metro:Щелковская, floor:5, price:6700000, area:57, elevator:1 пасс., timeToMetro:14, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:159606433, builtAt:-, bathrooms:-, netArea:42, metro:Кузьминки, floor:5, price:6700000, area:55, elevator:1 пасс., timeToMetro:12, floors:9, rooms:3, view:улица, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:161332358, builtAt:-, bathrooms:-, netArea:45, metro:Пражская, floor:3, price:6700000, area:59, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:-, balcony:1 лодж.
itemId:47188489, builtAt:1972, bathrooms:-, netArea:38.7, metro:Рязанский проспект, floor:1, price:6700000, area:57.4, elevator:–, timeToMetro:11, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:159157498, builtAt:-, bathrooms:-, netArea:38.2, metro:Щелковская, floor:2, price:6700000, area:57, elevator:1 пасс. + 1 груз., timeToMetro:11, floors:9, rooms:3, view:улица, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:154046325, builtAt:1972, bathrooms:-, netArea:44.7, metro:Пражская, floor:3, price:6700000, area:60, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 лодж.
itemId:152921016, builtAt:2009, bathrooms:2, netArea:61.6, metro:Новые Черемушки, floor:3, price:29300000, area:110, elevator:–, timeToMetro:10, floors:28, rooms:3, view:двор, buildingType:вторичка, renovation:евроремонт, balcony:2 лодж.
itemId:162451891, builtAt:-, bathrooms:1, netArea:44, metro:Смоленская, floor:4, price:25000000, area:65, elevator:1 пасс., timeToMetro:7, floors:6, rooms:3, view:двор, buildingType:сталинский, renovation:дизайнерский, balcony:нет
itemId:160448059, builtAt:-, bathrooms:1, netArea:28, metro:Сокольники, floor:4, price:17400000, area:62, elevator:1 пасс., timeToMetro:10, floors:6, rooms:3, view:двор, buildingType:вторичка, renovation:дизайнерский, balcony:–
itemId:162550053, builtAt:1965, bathrooms:-, netArea:37, metro:Черкизовская, floor:1, price:6700000, area:57, elevator:–, timeToMetro:8, floors:5, rooms:3, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:159032055, builtAt:-, bathrooms:-, netArea:37.1, metro:Рязанский проспект, floor:2, price:6700000, area:54.4, elevator:–, timeToMetro:15, floors:5, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:155148969, builtAt:1972, bathrooms:-, netArea:44, metro:Пражская, floor:9, price:6700000, area:58, elevator:–, timeToMetro:17, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:1 лодж.
itemId:161508960, builtAt:1969, bathrooms:-, netArea:45, metro:Щелковская, floor:3, price:6750000, area:61, elevator:1 пасс., timeToMetro:14, floors:9, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:156105023, builtAt:1971, bathrooms:-, netArea:46, metro:Улица Академика Янгеля, floor:1, price:6750000, area:63, elevator:1 пасс., timeToMetro:19, floors:9, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:1 лодж.
itemId:152919138, builtAt:1949, bathrooms:-, netArea:45, metro:Щелковская, floor:3, price:6750000, area:60, elevator:1 пасс. + 1 груз., timeToMetro:14, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:162084224, builtAt:-, bathrooms:-, netArea:35, metro:Люблино, floor:6, price:6750000, area:55, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:161572596, builtAt:-, bathrooms:-, netArea:41, metro:Пражская, floor:6, price:6750000, area:60, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:-, balcony:1 лодж.
itemId:152048623, builtAt:1971, bathrooms:-, netArea:30.8, metro:Нижегородская, floor:4, price:6750000, area:45.6, elevator:2 пасс., timeToMetro:4, floors:14, rooms:3, view:улица, buildingType:блочный, renovation:евроремонт, balcony:1 лодж.
itemId:162919480, builtAt:1966, bathrooms:-, netArea:37.1, metro:Кантемировская, floor:1, price:6750000, area:55.3, elevator:–, timeToMetro:13, floors:5, rooms:3, view:улица, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:163239258, builtAt:1954, bathrooms:-, netArea:45, metro:Соколиная гора, floor:4, price:6770000, area:61, elevator:–, timeToMetro:10, floors:5, rooms:3, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:154288344, builtAt:1972, bathrooms:-, netArea:34.2, metro:Люблино, floor:6, price:6790000, area:50.6, elevator:–, timeToMetro:15, floors:9, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:162721625, builtAt:-, bathrooms:-, netArea:38, metro:Выхино, floor:8, price:6800000, area:55, elevator:1 пасс., timeToMetro:5, floors:9, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162245142, builtAt:1971, bathrooms:-, netArea:42, metro:Новокосино, floor:4, price:6800000, area:60, elevator:1 пасс., timeToMetro:5, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 лодж.
itemId:158421382, builtAt:-, bathrooms:-, netArea:38, metro:Выхино, floor:8, price:6800000, area:55, elevator:1 пасс., timeToMetro:3, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162893707, builtAt:-, bathrooms:-, netArea:44, metro:Текстильщики, floor:1, price:6800000, area:63, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:161093743, builtAt:1958, bathrooms:1, netArea:36.5, metro:Перово, floor:3, price:6800000, area:55, elevator:–, timeToMetro:10, floors:5, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:160738015, builtAt:1971, bathrooms:-, netArea:34, metro:Выхино, floor:1, price:6800000, area:51, elevator:2 пасс., timeToMetro:20, floors:12, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:158742887, builtAt:-, bathrooms:-, netArea:34, metro:Рязанский проспект, floor:3, price:6800000, area:50.4, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:2 балк.
itemId:158554339, builtAt:1977, bathrooms:-, netArea:34, metro:Ясенево, floor:3, price:6800000, area:50, elevator:–, timeToMetro:20, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:161570685, builtAt:1969, bathrooms:-, netArea:42, metro:Печатники, floor:8, price:6800000, area:58.8, elevator:1 пасс., timeToMetro:11, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162333251, builtAt:1965, bathrooms:-, netArea:41.1, metro:Новогиреево, floor:4, price:6800000, area:58.8, elevator:–, timeToMetro:16, floors:5, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:160054661, builtAt:-, bathrooms:-, netArea:44, metro:Планерная, floor:1, price:6800000, area:59, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:155599934, builtAt:-, bathrooms:-, netArea:38, metro:Выхино, floor:8, price:6800000, area:51, elevator:1 пасс., timeToMetro:2, floors:9, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:1 лодж.
itemId:160091999, builtAt:-, bathrooms:-, netArea:34.6, metro:Рязанский проспект, floor:6, price:6800000, area:50.5, elevator:1 пасс., timeToMetro:8, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:160900229, builtAt:-, bathrooms:-, netArea:56, metro:Серпуховская, floor:8, price:19000000, area:89, elevator:–, timeToMetro:10, floors:8, rooms:3, view:–, buildingType:вторичка, renovation:косметический, balcony:2 балк.
itemId:152021097, builtAt:2017, bathrooms:-, netArea:44.7, metro:Рязанский проспект, floor:15, price:11300112, area:80.9, elevator:1 пасс. + 1 груз., timeToMetro:5, floors:24, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:2 лодж.
itemId:159374280, builtAt:2005, bathrooms:1, netArea:52, metro:Улица Старокачаловская, floor:16, price:14300000, area:84, elevator:2 пасс. + 2 груз., timeToMetro:15, floors:24, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:дизайнерский, balcony:1 балк.
itemId:51506824, builtAt:1971, bathrooms:-, netArea:44, metro:Улица Академика Янгеля, floor:1, price:6800000, area:60, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:162776696, builtAt:1970, bathrooms:-, netArea:33.9, metro:Выхино, floor:9, price:6800000, area:49, elevator:1 пасс., timeToMetro:4, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:156601493, builtAt:1971, bathrooms:-, netArea:–, metro:Выхино, floor:8, price:6800000, area:59.1, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:–, buildingType:вторичка, renovation:отсутствует, balcony:1 балк.
itemId:24991546, builtAt:-, bathrooms:-, netArea:36, metro:Выхино, floor:7, price:6850000, area:51, elevator:1 пасс., timeToMetro:15, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:157956874, builtAt:1972, bathrooms:-, netArea:43.4, metro:Рязанский проспект, floor:2, price:6850000, area:59, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:148928194, builtAt:1971, bathrooms:-, netArea:36, metro:Выхино, floor:7, price:6850000, area:52, elevator:1 пасс., timeToMetro:12, floors:9, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:1 лодж.
itemId:160420311, builtAt:-, bathrooms:-, netArea:45, metro:Выхино, floor:3, price:6890000, area:60, elevator:1 пасс., timeToMetro:10, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162998945, builtAt:1971, bathrooms:-, netArea:36, metro:Улица Академика Янгеля, floor:9, price:6900000, area:53, elevator:1 пасс., timeToMetro:14, floors:9, rooms:3, view:двор и улица, buildingType:блочный, renovation:косметический, balcony:1 балк.
itemId:161894667, builtAt:-, bathrooms:-, netArea:49.5, metro:Ясенево, floor:1, price:6900000, area:59, elevator:1 пасс., timeToMetro:6, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк. + 1 лодж.
