itemId:161839729, builtAt:-, bathrooms:1, netArea:18, metro:Беляево, floor:9, price:5990000, area:32, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:нет
itemId:158519288, builtAt:1952, bathrooms:1, netArea:12, metro:Первомайская, floor:2, price:3550000, area:15.3, elevator:–, timeToMetro:15, floors:6, rooms:1, view:улица, buildingType:кирпичный, renovation:евроремонт, balcony:–
itemId:162948395, builtAt:-, bathrooms:1, netArea:16, metro:Рязанский проспект, floor:2, price:3800000, area:31, elevator:1 пасс., timeToMetro:11, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:–
itemId:162971404, builtAt:1972, bathrooms:1, netArea:19, metro:Бульвар Рокоссовского, floor:3, price:3800000, area:23, elevator:1 пасс. + 1 груз., timeToMetro:18, floors:9, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:160701542, builtAt:1968, bathrooms:1, netArea:18.9, metro:Щелковская, floor:1, price:4000000, area:33.1, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:159498713, builtAt:-, bathrooms:-, netArea:17.4, metro:Щелковская, floor:5, price:4230000, area:32, elevator:–, timeToMetro:15, floors:5, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:162096576, builtAt:-, bathrooms:-, netArea:12, metro:Площадь Ильича, floor:16, price:4200000, area:19, elevator:1 пасс. + 1 груз., timeToMetro:7, floors:16, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:нет
itemId:161989401, builtAt:1966, bathrooms:1, netArea:21, metro:Кузьминки, floor:1, price:4200000, area:34, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:158000837, builtAt:-, bathrooms:1, netArea:19.7, metro:Рязанский проспект, floor:2, price:4200000, area:32, elevator:нет, timeToMetro:13, floors:4, rooms:1, view:двор, buildingType:вторичка, renovation:косметический, balcony:нет
itemId:161472505, builtAt:1968, bathrooms:1, netArea:20, metro:Сходненская, floor:1, price:4300000, area:31.9, elevator:1 пасс., timeToMetro:12, floors:9, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:161944591, builtAt:1967, bathrooms:1, netArea:20, metro:Кузьминки, floor:1, price:4300000, area:33, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:162367968, builtAt:1962, bathrooms:1, netArea:20, metro:Семеновская, floor:2, price:4300000, area:32, elevator:–, timeToMetro:15, floors:5, rooms:1, view:двор и улица, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:160712967, builtAt:1967, bathrooms:1, netArea:15.5, metro:Щелковская, floor:1, price:4300000, area:29, elevator:1 пасс., timeToMetro:12, floors:9, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:162262798, builtAt:-, bathrooms:-, netArea:18.7, metro:Красногвардейская, floor:1, price:4400000, area:32.5, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:–
itemId:162130973, builtAt:1961, bathrooms:1, netArea:18.5, metro:Рязанский проспект, floor:5, price:4400000, area:31.5, elevator:–, timeToMetro:14, floors:5, rooms:1, view:–, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:51006033, builtAt:1963, bathrooms:1, netArea:19, metro:Волжская, floor:5, price:4400000, area:31, elevator:нет, timeToMetro:12, floors:5, rooms:1, view:двор и улица, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:159279276, builtAt:1967, bathrooms:1, netArea:19.9, metro:Щелковская, floor:1, price:4400000, area:35, elevator:1 пасс., timeToMetro:11, floors:12, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:159565913, builtAt:-, bathrooms:1, netArea:19, metro:Митино, floor:4, price:4400000, area:33, elevator:–, timeToMetro:20, floors:5, rooms:1, view:двор, buildingType:кирпичный, renovation:отсутствует, balcony:1 балк.
itemId:159789823, builtAt:-, bathrooms:1, netArea:19, metro:Медведково, floor:10, price:6900000, area:38, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:17, rooms:1, view:двор, buildingType:панельный дом, renovation:евроремонт, balcony:1 балк.
itemId:158093602, builtAt:-, bathrooms:-, netArea:13, metro:Беляево, floor:14, price:4150000, area:19, elevator:1 пасс. + 1 груз., timeToMetro:9, floors:15, rooms:1, view:двор и улица, buildingType:панельный дом, renovation:отсутствует, balcony:нет
itemId:157038626, builtAt:1971, bathrooms:1, netArea:20, metro:Рязанский проспект, floor:1, price:4800000, area:33.5, elevator:–, timeToMetro:20, floors:14, rooms:1, view:двор, buildingType:блочный, renovation:евроремонт, balcony:1 балк. + 1 лодж.
itemId:156836518, builtAt:1965, bathrooms:1, netArea:20, metro:Рязанский проспект, floor:2, price:4450000, area:32, elevator:1 пасс., timeToMetro:16, floors:9, rooms:1, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:161980193, builtAt:1959, bathrooms:1, netArea:–, metro:Нагорная, floor:1, price:4510000, area:32, elevator:–, timeToMetro:13, floors:5, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:162956853, builtAt:-, bathrooms:1, netArea:19, metro:Улица Горчакова, floor:1, price:4500000, area:37, elevator:1 пасс. + 1 груз., timeToMetro:8, floors:12, rooms:1, view:двор, buildingType:панельный дом, renovation:евроремонт, balcony:нет
itemId:162977495, builtAt:1971, bathrooms:1, netArea:20, metro:Новогиреево, floor:4, price:4490000, area:33, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:152015077, builtAt:-, bathrooms:1, netArea:18, metro:Технопарк, floor:2, price:4500000, area:22, elevator:1 пасс. + 1 груз., timeToMetro:12, floors:2, rooms:1, view:двор, buildingType:монолитный, renovation:евроремонт, balcony:–
itemId:162838902, builtAt:1966, bathrooms:1, netArea:19, metro:Кантемировская, floor:2, price:4500000, area:33, elevator:–, timeToMetro:13, floors:5, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:159874004, builtAt:1972, bathrooms:1, netArea:16, metro:Улица Академика Янгеля, floor:12, price:4500000, area:31, elevator:1 пасс., timeToMetro:16, floors:12, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:1 лодж.
itemId:162012492, builtAt:1976, bathrooms:-, netArea:19, metro:Красногвардейская, floor:1, price:4450000, area:33, elevator:1 пасс., timeToMetro:5, floors:9, rooms:1, view:–, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:162289365, builtAt:1972, bathrooms:1, netArea:11.5, metro:Бабушкинская, floor:1, price:4600000, area:25, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:кирпичный, renovation:-, balcony:–
itemId:162141106, builtAt:-, bathrooms:1, netArea:15, metro:Отрадное, floor:5, price:4550000, area:27, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор и улица, buildingType:панельный дом, renovation:-, balcony:нет
itemId:161482169, builtAt:-, bathrooms:1, netArea:17, metro:Теплый Стан, floor:10, price:4600000, area:35, elevator:1 пасс., timeToMetro:7, floors:12, rooms:1, view:улица, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:163033897, builtAt:1964, bathrooms:1, netArea:21, metro:Рязанский проспект, floor:5, price:4550000, area:32, elevator:1 пасс., timeToMetro:12, floors:9, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:1 балк.
itemId:161353736, builtAt:1971, bathrooms:1, netArea:19, metro:Выхино, floor:5, price:4600000, area:33, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:160785338, builtAt:1977, bathrooms:1, netArea:21, metro:Алтуфьево, floor:7, price:4600000, area:35, elevator:1 пасс., timeToMetro:19, floors:9, rooms:1, view:–, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:161431637, builtAt:-, bathrooms:1, netArea:20, metro:Щелковская, floor:3, price:4700000, area:31, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:кирпичный, renovation:-, balcony:1 лодж.
itemId:156162049, builtAt:1969, bathrooms:1, netArea:19.1, metro:Щелковская, floor:4, price:4650000, area:33.3, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:156346351, builtAt:2000, bathrooms:1, netArea:16, metro:Бунинская аллея, floor:6, price:4650000, area:30, elevator:1 пасс. + 1 груз., timeToMetro:12, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:161467597, builtAt:-, bathrooms:1, netArea:18.9, metro:Орехово, floor:2, price:4700000, area:39, elevator:1 пасс. + 1 груз., timeToMetro:2, floors:17, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:162096036, builtAt:1973, bathrooms:1, netArea:20, metro:Улица Академика Янгеля, floor:9, price:4699000, area:38, elevator:1 пасс. + 1 груз., timeToMetro:16, floors:12, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:161697648, builtAt:1964, bathrooms:1, netArea:20, metro:Коломенская, floor:5, price:4700000, area:32, elevator:–, timeToMetro:15, floors:5, rooms:1, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:161751266, builtAt:1975, bathrooms:1, netArea:21, metro:Домодедовская, floor:8, price:4700000, area:34.8, elevator:1 пасс., timeToMetro:12, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:157139087, builtAt:1982, bathrooms:-, netArea:17, metro:Улица Старокачаловская, floor:1, price:4650000, area:33, elevator:1 пасс., timeToMetro:7, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:158244925, builtAt:1976, bathrooms:1, netArea:19, metro:Шипиловская, floor:1, price:4700000, area:34, elevator:1 пасс., timeToMetro:6, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:160420310, builtAt:1967, bathrooms:1, netArea:18, metro:Щелковская, floor:5, price:4700000, area:31, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:162429091, builtAt:1961, bathrooms:1, netArea:19, metro:Новогиреево, floor:2, price:4700000, area:30, elevator:–, timeToMetro:8, floors:5, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:155930583, builtAt:2005, bathrooms:1, netArea:19.1, metro:Улица Академика Янгеля, floor:12, price:5500000, area:38, elevator:1 пасс. + 1 груз., timeToMetro:7, floors:17, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:157946198, builtAt:1985, bathrooms:1, netArea:19.4, metro:Текстильщики, floor:14, price:6499000, area:37.5, elevator:1 пасс. + 1 груз., timeToMetro:5, floors:16, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:160178021, builtAt:-, bathrooms:-, netArea:20, metro:Улица Академика Янгеля, floor:7, price:7197000, area:44, elevator:нет, timeToMetro:1, floors:23, rooms:1, view:двор, buildingType:монолитный, renovation:отсутствует, balcony:1 лодж.
itemId:152431363, builtAt:1964, bathrooms:1, netArea:19, metro:Нагорная, floor:1, price:4690000, area:32, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:9, rooms:1, view:улица, buildingType:вторичка, renovation:косметический, balcony:–
itemId:156132103, builtAt:1966, bathrooms:-, netArea:20, metro:Волжская, floor:4, price:4650000, area:30, elevator:–, timeToMetro:13, floors:5, rooms:1, view:–, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:162987460, builtAt:1969, bathrooms:1, netArea:19, metro:Щелковская, floor:3, price:4700000, area:33, elevator:1 пасс., timeToMetro:19, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:151947390, builtAt:1969, bathrooms:1, netArea:18, metro:Перово, floor:1, price:4650000, area:34, elevator:2 пасс., timeToMetro:15, floors:12, rooms:1, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:158658420, builtAt:2001, bathrooms:-, netArea:20.3, metro:Улица Горчакова, floor:2, price:4749000, area:39, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:14, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:161987442, builtAt:-, bathrooms:1, netArea:23, metro:Бауманская, floor:1, price:4700000, area:32, elevator:нет, timeToMetro:10, floors:5, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:нет
itemId:155698668, builtAt:1974, bathrooms:1, netArea:15, metro:Текстильщики, floor:2, price:4699990, area:30, elevator:–, timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:159293307, builtAt:1981, bathrooms:1, netArea:19, metro:Печатники, floor:1, price:4700000, area:35, elevator:1 пасс. + 1 груз., timeToMetro:18, floors:12, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:160867990, builtAt:1967, bathrooms:1, netArea:–, metro:Соколиная гора, floor:2, price:4700000, area:27, elevator:1 пасс., timeToMetro:14, floors:9, rooms:1, view:улица, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:157660741, builtAt:1971, bathrooms:1, netArea:20, metro:Рязанский проспект, floor:1, price:4800000, area:33.5, elevator:1 пасс. + 1 груз., timeToMetro:25, floors:14, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:1 лодж.
itemId:159315861, builtAt:1969, bathrooms:1, netArea:19.1, metro:Щелковская, floor:1, price:4750000, area:34.3, elevator:–, timeToMetro:12, floors:12, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:–
itemId:161989238, builtAt:1959, bathrooms:1, netArea:17, metro:Преображенская площадь, floor:1, price:4800000, area:30, elevator:–, timeToMetro:5, floors:5, rooms:1, view:–, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:152690719, builtAt:1962, bathrooms:1, netArea:19, metro:Перово, floor:1, price:4750000, area:31, elevator:–, timeToMetro:12, floors:5, rooms:1, view:–, buildingType:вторичка, renovation:косметический, balcony:–
itemId:156593829, builtAt:1958, bathrooms:1, netArea:18.4, metro:Молодежная, floor:3, price:4800000, area:35.1, elevator:–, timeToMetro:14, floors:5, rooms:1, view:улица, buildingType:вторичка, renovation:косметический, balcony:–
itemId:161839561, builtAt:1973, bathrooms:1, netArea:19, metro:Орехово, floor:6, price:4800000, area:33, elevator:1 пасс., timeToMetro:8, floors:9, rooms:1, view:–, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:162568988, builtAt:-, bathrooms:-, netArea:18, metro:Улица Академика Янгеля, floor:6, price:4750000, area:33, elevator:1 пасс., timeToMetro:4, floors:9, rooms:1, view:–, buildingType:панельный дом, renovation:косметический, balcony:нет
itemId:154936224, builtAt:1961, bathrooms:1, netArea:18.2, metro:Семеновская, floor:5, price:4800000, area:32, elevator:–, timeToMetro:11, floors:5, rooms:1, view:улица, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:162825123, builtAt:-, bathrooms:1, netArea:–, metro:Выхино, floor:8, price:4800000, area:33, elevator:1 пасс., timeToMetro:6, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:–
itemId:158090542, builtAt:1963, bathrooms:1, netArea:19, metro:Речной вокзал, floor:5, price:4800000, area:31, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор и улица, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:161551525, builtAt:1969, bathrooms:1, netArea:19, metro:Первомайская, floor:6, price:4800000, area:33.2, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:162762442, builtAt:1970, bathrooms:1, netArea:19, metro:Южная, floor:1, price:4800000, area:32, elevator:1 пасс., timeToMetro:14, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:154186842, builtAt:1970, bathrooms:1, netArea:19, metro:Выхино, floor:2, price:4800000, area:33, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:вторичка, renovation:евроремонт, balcony:–
itemId:153158127, builtAt:1975, bathrooms:1, netArea:19, metro:Домодедовская, floor:1, price:4800000, area:34, elevator:–, timeToMetro:15, floors:9, rooms:1, view:–, buildingType:вторичка, renovation:косметический, balcony:–
itemId:161569837, builtAt:-, bathrooms:1, netArea:20, metro:Каховская, floor:5, price:4800000, area:32, elevator:–, timeToMetro:10, floors:5, rooms:1, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:1 балк.
itemId:159912432, builtAt:1963, bathrooms:1, netArea:12.6, metro:Преображенская площадь, floor:7, price:4750000, area:20.6, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:10, rooms:1, view:двор, buildingType:кирпичный, renovation:евроремонт, balcony:нет
itemId:155427680, builtAt:1997, bathrooms:1, netArea:19, metro:Академическая, floor:12, price:8500000, area:38, elevator:1 пасс. + 1 груз., timeToMetro:5, floors:14, rooms:1, view:улица, buildingType:панельный дом, renovation:евроремонт, balcony:1 лодж.
itemId:160426584, builtAt:1959, bathrooms:-, netArea:17, metro:Крымская, floor:5, price:5150000, area:31.6, elevator:–, timeToMetro:9, floors:5, rooms:1, view:двор, buildingType:кирпичный, renovation:отсутствует, balcony:1 балк.
itemId:157570905, builtAt:-, bathrooms:1, netArea:40, metro:Маяковская, floor:3, price:24500000, area:59.8, elevator:1 пасс. + 1 груз., timeToMetro:3, floors:12, rooms:1, view:двор и улица, buildingType:монолитный, renovation:-, balcony:нет
itemId:162780098, builtAt:1966, bathrooms:1, netArea:21.3, metro:Перово, floor:1, price:4900000, area:32.1, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:157579990, builtAt:2001, bathrooms:-, netArea:15, metro:Бунинская аллея, floor:3, price:4900000, area:36, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:157629363, builtAt:1974, bathrooms:1, netArea:18, metro:Печатники, floor:12, price:4850000, area:37, elevator:2 пасс., timeToMetro:8, floors:12, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:161840610, builtAt:1971, bathrooms:1, netArea:20, metro:Выхино, floor:3, price:4900000, area:34, elevator:1 пасс., timeToMetro:7, floors:9, rooms:1, view:улица, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:160629397, builtAt:1973, bathrooms:1, netArea:19.8, metro:Братиславская, floor:10, price:4900000, area:35, elevator:1 пасс., timeToMetro:10, floors:12, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162958489, builtAt:1969, bathrooms:1, netArea:18, metro:Южная, floor:3, price:4900000, area:33, elevator:1 пасс., timeToMetro:15, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:161942356, builtAt:-, bathrooms:1, netArea:20, metro:Алма-Атинская, floor:2, price:4900000, area:38, elevator:1 пасс., timeToMetro:10, floors:17, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:нет
itemId:160657279, builtAt:2001, bathrooms:-, netArea:20, metro:Улица Скобелевская, floor:9, price:4900000, area:36, elevator:1 пасс. + 1 груз., timeToMetro:8, floors:12, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:162952520, builtAt:1995, bathrooms:1, netArea:18, metro:Алма-Атинская, floor:2, price:4900000, area:38, elevator:1 пасс. + 1 груз., timeToMetro:8, floors:17, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:159755532, builtAt:1965, bathrooms:1, netArea:–, metro:Лихоборы, floor:1, price:4930000, area:33, elevator:1 пасс., timeToMetro:20, floors:9, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:162764039, builtAt:2000, bathrooms:-, netArea:21, metro:Бунинская аллея, floor:3, price:4900000, area:39, elevator:1 пасс. + 1 груз., timeToMetro:14, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:162715549, builtAt:-, bathrooms:1, netArea:32, metro:Орехово, floor:3, price:4900000, area:38, elevator:1 пасс. + 1 груз., timeToMetro:5, floors:20, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:157349089, builtAt:1972, bathrooms:-, netArea:19, metro:Коньково, floor:8, price:4900000, area:33, elevator:1 пасс., timeToMetro:9, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:нет
itemId:161926720, builtAt:-, bathrooms:-, netArea:21, metro:Бунинская аллея, floor:5, price:4850000, area:39, elevator:1 пасс. + 1 груз., timeToMetro:12, floors:7, rooms:1, view:улица, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:157716400, builtAt:1974, bathrooms:1, netArea:15, metro:Улица Академика Янгеля, floor:6, price:4850000, area:26.6, elevator:1 пасс., timeToMetro:8, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:148797270, builtAt:-, bathrooms:1, netArea:18, metro:Тушинская, floor:5, price:4900000, area:30, elevator:–, timeToMetro:15, floors:5, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:158592386, builtAt:1994, bathrooms:-, netArea:20, metro:Лермонтовский проспект, floor:8, price:5000000, area:37, elevator:1 пасс. + 1 груз., timeToMetro:7, floors:17, rooms:1, view:улица, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:147843598, builtAt:-, bathrooms:1, netArea:20, metro:Щелковская, floor:1, price:5000000, area:32, elevator:–, timeToMetro:4, floors:5, rooms:1, view:двор и улица, buildingType:вторичка, renovation:евроремонт, balcony:–
itemId:161431640, builtAt:1999, bathrooms:-, netArea:20, metro:Улица Горчакова, floor:8, price:4950000, area:40, elevator:1 пасс. + 1 груз., timeToMetro:8, floors:12, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:1 лодж.
itemId:154192710, builtAt:1970, bathrooms:1, netArea:20.5, metro:Первомайская, floor:3, price:5000000, area:29.9, elevator:1 пасс., timeToMetro:10, floors:8, rooms:1, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:161989363, builtAt:1971, bathrooms:1, netArea:20, metro:Царицыно, floor:6, price:5000000, area:35, elevator:1 пасс., timeToMetro:7, floors:14, rooms:1, view:двор, buildingType:блочный, renovation:косметический, balcony:1 лодж.
itemId:161577332, builtAt:1969, bathrooms:1, netArea:18.7, metro:Медведково, floor:5, price:4950000, area:32.6, elevator:1 пасс., timeToMetro:7, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:161848934, builtAt:1963, bathrooms:1, netArea:18.6, metro:Сходненская, floor:5, price:5000000, area:31.3, elevator:1 пасс., timeToMetro:15, floors:8, rooms:1, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:153942196, builtAt:1961, bathrooms:1, netArea:20, metro:Войковская, floor:2, price:4950000, area:31.4, elevator:1 пасс., timeToMetro:7, floors:5, rooms:1, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:144769203, builtAt:1960, bathrooms:-, netArea:18, metro:Нагорная, floor:2, price:4999000, area:30.3, elevator:–, timeToMetro:17, floors:5, rooms:1, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:161948398, builtAt:2000, bathrooms:1, netArea:–, metro:Нахимовский проспект, floor:10, price:8600000, area:38.3, elevator:1 пасс. + 1 груз., timeToMetro:5, floors:17, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:160426584, builtAt:1959, bathrooms:-, netArea:17, metro:Крымская, floor:5, price:5150000, area:31.6, elevator:–, timeToMetro:9, floors:5, rooms:1, view:двор, buildingType:кирпичный, renovation:отсутствует, balcony:1 балк.
itemId:153421742, builtAt:2014, bathrooms:1, netArea:19, metro:Улица Академика Янгеля, floor:10, price:8400000, area:45.6, elevator:2 пасс. + 2 груз., timeToMetro:2, floors:22, rooms:1, view:улица, buildingType:вторичка, renovation:евроремонт, balcony:1 лодж.
itemId:159853794, builtAt:1964, bathrooms:1, netArea:18.4, metro:Каховская, floor:4, price:5000000, area:30.3, elevator:–, timeToMetro:17, floors:5, rooms:1, view:улица, buildingType:блочный, renovation:косметический, balcony:1 балк.
itemId:162237754, builtAt:1995, bathrooms:1, netArea:19, metro:Новокосино, floor:14, price:5000000, area:38.5, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:17, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
